日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2027-01-01,金曜日,Friday,Fri,False,True,元日,先勝,False,丙子,丙,子,火,水,陽,鼠,建禄,False,,,,調査中,運命の扉が開く日,黄金色,アールグレイ,1,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,愚者 - 新しい始まり,一歩一歩が大切な旅路,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2,,2027-01-02,土曜日,Saturday,Sat,True,False,,友引,False,丁丑,丁,丑,火,土,陰,牛,帝旺,False,,,,調査中,宇宙からのメッセージ,鋼青色,カモミールティー,2,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,魔術師 - 創造力,今日という日は二度と来ない,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
3,,2027-01-03,日曜日,Sunday,Sun,True,False,,先負,True,戊寅,戊,寅,土,木,陽,虎,衰,False,,,,調査中,奇跡を呼ぶ波動,深紅色,ペパーミントティー,3,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,女教皇 - 直感,心の平安が真の豊かさ,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
4,,2027-01-04,月曜日,Monday,Mon,False,False,,仏滅,False,己卯,己,卯,土,木,陰,兎,病,False,,,,調査中,龍神様のご加護,金色,緑茶,4,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,女帝 - 豊穣,変化は成長の扉,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
5,,2027-01-05,火曜日,Tuesday,Tue,False,False,,大安,False,庚辰,庚,辰,金,土,陽,龍,死,False,,,,調査中,金運上昇のサイン,朱色,ほうじ茶,5,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,皇帝 - 安定,感謝の心が幸福を呼ぶ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
6,,2027-01-06,水曜日,Wednesday,Wed,False,False,,赤口,True,辛巳,辛,巳,金,火,陰,蛇,墓,False,,,,調査中,恋愛運絶好調,空色,ジャスミンティー,6,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,教皇 - 叡智,愛は最も強いエネルギー,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
7,,2027-01-07,木曜日,Thursday,Thu,False,False,,先勝,False,壬午,壬,午,水,火,陽,馬,絶,False,,,,調査中,直感力が冴える,若草色,ルイボスティー,7,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,恋人 - 選択,困難は成長のギフト,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
8,,2027-01-08,金曜日,Friday,Fri,False,False,,友引,True,癸未,癸,未,水,土,陰,羊,胎,False,,,,調査中,隠れた才能開花,黄金色,ローズヒップティー,8,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,戦車 - 意志力,今この瞬間が全て,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
9,,2027-01-09,土曜日,Saturday,Sat,True,False,,先負,False,甲申,甲,申,木,金,陽,猿,沐浴,True,申酉,友人・兄弟,,調査中,人生の転機到来,鋼青色,白茶,9,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,力 - 内なる強さ,笑顔は心の太陽,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
10,,2027-01-10,日曜日,Sunday,Sun,True,False,,仏滅,False,乙酉,乙,酉,木,金,陰,鶏,冠帯,True,申酉,友人・兄弟,,調査中,幸運の風が吹く,深紅色,烏龍茶,10,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,隠者 - 内省,優しさは伝染する,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
