日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2032-03-01,月曜日,Monday,Mon,False,False,,先負,True,壬寅,壬,寅,水,木,陽,虎,養,False,,,,調査中,運命の扉が開く日,金色,アールグレイ,61,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,塔 - 変革,知恵は経験から生まれる,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2,,2032-03-02,火曜日,Tuesday,Tue,False,False,,仏滅,False,癸卯,癸,卯,水,木,陰,兎,長生,False,,,,調査中,宇宙からのメッセージ,朱色,カモミールティー,62,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,星 - 希望,調和は美の根源,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
3,,2032-03-03,水曜日,Wednesday,Wed,False,False,,大安,False,甲辰,甲,辰,木,土,陽,龍,建禄,False,,,,調査中,奇跡を呼ぶ波動,空色,ペパーミントティー,63,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,月 - 幻想,希望は明日への光,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
4,,2032-03-04,木曜日,Thursday,Thu,False,False,,赤口,False,乙巳,乙,巳,木,火,陰,蛇,帝旺,False,,,,調査中,龍神様のご加護,若草色,緑茶,64,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,太陽 - 成功,慈悲は魂の栄養,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
5,,2032-03-05,金曜日,Friday,Fri,False,False,,先勝,False,丙午,丙,午,火,火,陽,馬,衰,False,,,,調査中,金運上昇のサイン,黄金色,ほうじ茶,65,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,審判 - 再生,一歩一歩が大切な旅路,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
6,,2032-03-06,土曜日,Saturday,Sat,True,False,,友引,False,丁未,丁,未,火,土,陰,羊,病,False,,,,調査中,恋愛運絶好調,鋼青色,ジャスミンティー,66,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,世界 - 完成,今日という日は二度と来ない,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
7,,2032-03-07,日曜日,Sunday,Sun,True,False,,先負,False,戊申,戊,申,土,金,陽,猿,死,False,,,,調査中,直感力が冴える,深紅色,ルイボスティー,67,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,愚者 - 新しい始まり,心の平安が真の豊かさ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
8,,2032-03-08,月曜日,Monday,Mon,False,False,,仏滅,True,己酉,己,酉,土,金,陰,鶏,墓,False,,,,調査中,隠れた才能開花,金色,ローズヒップティー,68,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,魔術師 - 創造力,変化は成長の扉,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
9,,2032-03-09,火曜日,Tuesday,Tue,False,False,,大安,False,庚戌,庚,戌,金,土,陽,犬,絶,False,,,,調査中,人生の転機到来,朱色,白茶,69,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,女教皇 - 直感,感謝の心が幸福を呼ぶ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
10,,2032-03-10,水曜日,Wednesday,Wed,False,False,,赤口,False,辛亥,辛,亥,金,水,陰,猪,胎,False,,,,調査中,幸運の風が吹く,空色,烏龍茶,70,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,女帝 - 豊穣,愛は最も強いエネルギー,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
11,,2032-03-11,木曜日,Thursday,Thu,False,False,,先勝,False,壬子,壬,子,水,水,陽,鼠,養,False,,,,調査中,魂の成長期間,若草色,玄米茶,71,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,皇帝 - 安定,困難は成長のギフト,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
12,,2032-03-12,金曜日,Friday,Fri,False,False,,友引,False,癸丑,癸,丑,水,土,陰,牛,長生,False,,,,調査中,エネルギー充電日,黄金色,抹茶,72,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,教皇 - 叡智,今この瞬間が全て,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
13,,2032-03-13,土曜日,Saturday,Sat,True,False,,先負,True,甲寅,甲,寅,木,木,陽,虎,建禄,False,,,,調査中,新次元への扉,鋼青色,柚子茶,73,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,恋人 - 選択,笑顔は心の太陽,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
14,,2032-03-14,日曜日,Sunday,Sun,True,False,,仏滅,False,乙卯,乙,卯,木,木,陰,兎,帝旺,False,,,,調査中,守護霊のささやき,深紅色,生姜茶,74,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,戦車 - 意志力,優しさは伝染する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
15,,2032-03-15,月曜日,Monday,Mon,False,False,,大安,False,丙辰,丙,辰,火,土,陽,龍,衰,True,辰巳,財運・社会,,調査中,願いが叶う予感,金色,黒豆茶,75,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,双子座,力 - 内なる強さ,夢は現実の種,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
16,,2032-03-16,火曜日,Tuesday,Tue,False,False,,赤口,True,丁巳,丁,巳,火,火,陰,蛇,病,True,辰巳,財運・社会,,調査中,心のデトックス,朱色,アールグレイ,76,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,蟹座,隠者 - 内省,勇気は恐れを超越する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
