日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2028-11-01,水曜日,Wednesday,Wed,False,False,,大安,False,丙戌,丙,戌,火,土,陽,犬,沐浴,False,,,,調査中,恋愛運絶好調,空色,ジャスミンティー,9,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,太陽 - 成功,今日という日は二度と来ない,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2,,2028-11-02,木曜日,Thursday,Thu,False,False,,赤口,True,丁亥,丁,亥,火,水,陰,猪,冠帯,False,,,,調査中,直感力が冴える,若草色,ルイボスティー,10,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,審判 - 再生,心の平安が真の豊かさ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
3,,2028-11-03,金曜日,Friday,Fri,False,True,文化の日,先勝,False,戊子,戊,子,土,水,陽,鼠,建禄,False,,,,調査中,隠れた才能開花,黄金色,ローズヒップティー,11,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,世界 - 完成,変化は成長の扉,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
4,,2028-11-04,土曜日,Saturday,Sat,True,False,,友引,False,己丑,己,丑,土,土,陰,牛,帝旺,False,,,,調査中,人生の転機到来,鋼青色,白茶,12,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,愚者 - 新しい始まり,感謝の心が幸福を呼ぶ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
5,,2028-11-05,日曜日,Sunday,Sun,True,False,,先負,True,庚寅,庚,寅,金,木,陽,虎,衰,False,,,,調査中,幸運の風が吹く,深紅色,烏龍茶,13,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,魔術師 - 創造力,愛は最も強いエネルギー,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
6,,2028-11-06,月曜日,Monday,Mon,False,False,,仏滅,False,辛卯,辛,卯,金,木,陰,兎,病,False,,,,調査中,魂の成長期間,金色,玄米茶,14,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,女教皇 - 直感,困難は成長のギフト,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
7,,2028-11-07,火曜日,Tuesday,Tue,False,False,,大安,False,壬辰,壬,辰,水,土,陽,龍,死,False,,,,調査中,エネルギー充電日,朱色,抹茶,15,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,女帝 - 豊穣,今この瞬間が全て,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
8,,2028-11-08,水曜日,Wednesday,Wed,False,False,,赤口,False,癸巳,癸,巳,水,火,陰,蛇,墓,False,,,,調査中,新次元への扉,空色,柚子茶,16,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,皇帝 - 安定,笑顔は心の太陽,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
9,,2028-11-09,木曜日,Thursday,Thu,False,False,,先勝,False,甲午,甲,午,木,火,陽,馬,養,True,午未,配偶者・恋愛,,調査中,守護霊のささやき,若草色,生姜茶,17,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,教皇 - 叡智,優しさは伝染する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
10,,2028-11-10,金曜日,Friday,Fri,False,False,,友引,True,乙未,乙,未,木,土,陰,羊,長生,True,午未,配偶者・恋愛,,調査中,願いが叶う予感,黄金色,黒豆茶,18,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,双子座,恋人 - 選択,夢は現実の種,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
11,,2028-11-11,土曜日,Saturday,Sat,True,False,,先負,False,丙申,丙,申,火,金,陽,猿,沐浴,False,,,,調査中,心のデトックス,鋼青色,アールグレイ,19,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,蟹座,戦車 - 意志力,勇気は恐れを超越する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
12,,2028-11-12,日曜日,Sunday,Sun,True,False,,仏滅,False,丁酉,丁,酉,火,金,陰,鶏,冠帯,False,,,,調査中,創造力爆発,深紅色,カモミールティー,20,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,獅子座,力 - 内なる強さ,知恵は経験から生まれる,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
13,,2028-11-13,月曜日,Monday,Mon,False,False,,大安,True,戊戌,戊,戌,土,土,陽,犬,建禄,False,,,,調査中,人との縁を結ぶ,金色,ペパーミントティー,21,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,乙女座,隠者 - 内省,調和は美の根源,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
14,,2028-11-14,火曜日,Tuesday,Tue,False,False,,赤口,False,己亥,己,亥,土,水,陰,猪,帝旺,False,,,,調査中,未来への種まき,朱色,緑茶,22,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,天秤座,運命の輪 - 転機,希望は明日への光,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
15,,2028-11-15,水曜日,Wednesday,Wed,False,False,,先勝,False,庚子,庚,子,金,水,陽,鼠,衰,False,,,,調査中,宝物発見の予感,空色,ほうじ茶,23,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,蠍座,正義 - バランス,慈悲は魂の栄養,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
16,,2028-11-16,木曜日,Thursday,Thu,False,False,,友引,False,辛丑,辛,丑,金,土,陰,牛,病,False,,,,調査中,内なる光が輝く,若草色,ジャスミンティー,24,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,射手座,吊られた男 - 犠牲,一歩一歩が大切な旅路,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
17,,2028-11-17,金曜日,Friday,Fri,False,False,,先負,False,壬寅,壬,寅,水,木,陽,虎,死,False,,,,調査中,調和のメロディ,黄金色,ルイボスティー,25,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,山羊座,死神 - 変容,今日という日は二度と来ない,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
18,,2028-11-18,土曜日,Saturday,Sat,True,False,,仏滅,True,癸卯,癸,卯,水,木,陰,兎,墓,False,,,,調査中,自然の叡智授受,鋼青色,ローズヒップティー,26,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,水瓶座,節制 - 調和,心の平安が真の豊かさ,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
19,,2028-11-19,日曜日,Sunday,Sun,True,False,,大安,False,甲辰,甲,辰,木,土,陽,龍,養,False,,,,調査中,知恵の泉湧出,深紅色,白茶,27,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,魚座,悪魔 - 誘惑,変化は成長の扉,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
20,,2028-11-20,月曜日,Monday,Mon,False,False,,赤口,False,乙巳,乙,巳,木,火,陰,蛇,長生,False,,,,調査中,至福の時間軸,金色,烏龍茶,28,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,牡羊座,塔 - 変革,感謝の心が幸福を呼ぶ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
