日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2031-05-01,木曜日,Thursday,Thu,False,False,,大安,False,丁酉,丁,酉,火,金,陰,鶏,墓,False,,,,調査中,運命の扉が開く日,若草色,アールグレイ,22,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,運命の輪 - 転機,笑顔は心の太陽,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2,2031-05-02,金曜日,Friday,Fri,False,False,,赤口,True,戊戌,戊,戌,土,土,陽,犬,絶,False,,,,調査中,宇宙からのメッセージ,黄金色,カモミールティー,23,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,正義 - バランス,優しさは伝染する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
3,2031-05-03,土曜日,Saturday,Sat,True,True,憲法記念日,先勝,False,己亥,己,亥,土,水,陰,猪,胎,False,,,,調査中,奇跡を呼ぶ波動,鋼青色,ペパーミントティー,24,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,吊られた男 - 犠牲,夢は現実の種,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
4,2031-05-04,日曜日,Sunday,Sun,True,True,みどりの日,友引,False,庚子,庚,子,金,水,陽,鼠,養,False,,,,調査中,龍神様のご加護,深紅色,緑茶,25,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,死神 - 変容,勇気は恐れを超越する,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
5,2031-05-05,月曜日,Monday,Mon,False,True,こどもの日,先負,False,辛丑,辛,丑,金,土,陰,牛,長生,False,,,,調査中,金運上昇のサイン,金色,ほうじ茶,26,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,節制 - 調和,知恵は経験から生まれる,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
6,2031-05-06,火曜日,Tuesday,Tue,False,False,,仏滅,False,壬寅,壬,寅,水,木,陽,虎,沐浴,False,,,,調査中,恋愛運絶好調,朱色,ジャスミンティー,27,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,悪魔 - 誘惑,調和は美の根源,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
7,2031-05-07,水曜日,Wednesday,Wed,False,False,,大安,True,癸卯,癸,卯,水,木,陰,兎,冠帯,False,,,,調査中,直感力が冴える,空色,ルイボスティー,28,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,塔 - 変革,希望は明日への光,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
8,2031-05-08,木曜日,Thursday,Thu,False,False,,赤口,False,甲辰,甲,辰,木,土,陽,龍,衰,False,,,,調査中,隠れた才能開花,若草色,ローズヒップティー,29,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,星 - 希望,慈悲は魂の栄養,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
9,2031-05-09,金曜日,Friday,Fri,False,False,,先勝,False,乙巳,乙,巳,木,火,陰,蛇,病,False,,,,調査中,人生の転機到来,黄金色,白茶,30,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,月 - 幻想,一歩一歩が大切な旅路,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
10,2031-05-10,土曜日,Saturday,Sat,True,False,,友引,False,丙午,丙,午,火,火,陽,馬,死,False,,,,調査中,幸運の風が吹く,鋼青色,烏龍茶,31,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,太陽 - 成功,今日という日は二度と来ない,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
