日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2031-03-01,土曜日,Saturday,Sat,True,False,,先負,True,丙申,丙,申,火,金,陽,猿,衰,False,,,,調査中,豊かさの波動,鋼青色,黒豆茶,60,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,魚座,悪魔 - 誘惑,勇気は恐れを超越する,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2,2031-03-02,日曜日,Sunday,Sun,True,False,,仏滅,False,丁酉,丁,酉,火,金,陰,鶏,病,False,,,,調査中,運命の扉が開く日,深紅色,アールグレイ,61,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,塔 - 変革,知恵は経験から生まれる,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
3,2031-03-03,月曜日,Monday,Mon,False,False,,大安,False,戊戌,戊,戌,土,土,陽,犬,死,False,,,,調査中,宇宙からのメッセージ,金色,カモミールティー,62,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,星 - 希望,調和は美の根源,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
4,2031-03-04,火曜日,Tuesday,Tue,False,False,,赤口,False,己亥,己,亥,土,水,陰,猪,墓,False,,,,調査中,奇跡を呼ぶ波動,朱色,ペパーミントティー,63,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,月 - 幻想,希望は明日への光,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
5,2031-03-05,水曜日,Wednesday,Wed,False,False,,先勝,False,庚子,庚,子,金,水,陽,鼠,絶,False,,,,調査中,龍神様のご加護,空色,緑茶,64,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,太陽 - 成功,慈悲は魂の栄養,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
6,2031-03-06,木曜日,Thursday,Thu,False,False,,友引,False,辛丑,辛,丑,金,土,陰,牛,胎,False,,,,調査中,金運上昇のサイン,若草色,ほうじ茶,65,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,審判 - 再生,一歩一歩が大切な旅路,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
7,2031-03-07,金曜日,Friday,Fri,False,False,,先負,False,壬寅,壬,寅,水,木,陽,虎,養,False,,,,調査中,恋愛運絶好調,黄金色,ジャスミンティー,66,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,世界 - 完成,今日という日は二度と来ない,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
8,2031-03-08,土曜日,Saturday,Sat,True,False,,仏滅,True,癸卯,癸,卯,水,木,陰,兎,長生,False,,,,調査中,直感力が冴える,鋼青色,ルイボスティー,67,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,愚者 - 新しい始まり,心の平安が真の豊かさ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
9,2031-03-09,日曜日,Sunday,Sun,True,False,,大安,False,甲辰,甲,辰,木,土,陽,龍,建禄,False,,,,調査中,隠れた才能開花,深紅色,ローズヒップティー,68,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,魔術師 - 創造力,変化は成長の扉,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
10,2031-03-10,月曜日,Monday,Mon,False,False,,赤口,False,乙巳,乙,巳,木,火,陰,蛇,帝旺,False,,,,調査中,人生の転機到来,金色,白茶,69,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,女教皇 - 直感,感謝の心が幸福を呼ぶ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
11,2031-03-11,火曜日,Tuesday,Tue,False,False,,先勝,False,丙午,丙,午,火,火,陽,馬,衰,False,,,,調査中,幸運の風が吹く,朱色,烏龍茶,70,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,女帝 - 豊穣,愛は最も強いエネルギー,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
12,2031-03-12,水曜日,Wednesday,Wed,False,False,,友引,False,丁未,丁,未,火,土,陰,羊,病,False,,,,調査中,魂の成長期間,空色,玄米茶,71,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,皇帝 - 安定,困難は成長のギフト,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
13,2031-03-13,木曜日,Thursday,Thu,False,False,,先負,True,戊申,戊,申,土,金,陽,猿,死,False,,,,調査中,エネルギー充電日,若草色,抹茶,72,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,教皇 - 叡智,今この瞬間が全て,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
14,2031-03-14,金曜日,Friday,Fri,False,False,,仏滅,False,己酉,己,酉,土,金,陰,鶏,墓,False,,,,調査中,新次元への扉,黄金色,柚子茶,73,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,恋人 - 選択,笑顔は心の太陽,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
15,2031-03-15,土曜日,Saturday,Sat,True,False,,大安,False,庚戌,庚,戌,金,土,陽,犬,絶,False,,,,調査中,守護霊のささやき,鋼青色,生姜茶,74,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,戦車 - 意志力,優しさは伝染する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
