日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2033-05-01,日曜日,Sunday,Sun,True,False,,大安,False,戊申,戊,申,土,金,陽,猿,絶,False,,,,調査中,運命の扉が開く日,深紅色,アールグレイ,22,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,運命の輪 - 転機,笑顔は心の太陽,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2,2033-05-02,月曜日,Monday,Mon,False,False,,赤口,True,己酉,己,酉,土,金,陰,鶏,胎,False,,,,調査中,宇宙からのメッセージ,金色,カモミールティー,23,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,正義 - バランス,優しさは伝染する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
3,2033-05-03,火曜日,Tuesday,Tue,False,True,憲法記念日,先勝,False,庚戌,庚,戌,金,土,陽,犬,養,False,,,,調査中,奇跡を呼ぶ波動,朱色,ペパーミントティー,24,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,吊られた男 - 犠牲,夢は現実の種,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
4,2033-05-04,水曜日,Wednesday,Wed,False,True,みどりの日,友引,False,辛亥,辛,亥,金,水,陰,猪,長生,False,,,,調査中,龍神様のご加護,空色,緑茶,25,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,死神 - 変容,勇気は恐れを超越する,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
5,2033-05-05,木曜日,Thursday,Thu,False,True,こどもの日,先負,False,壬子,壬,子,水,水,陽,鼠,沐浴,False,,,,調査中,金運上昇のサイン,若草色,ほうじ茶,26,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,節制 - 調和,知恵は経験から生まれる,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
6,2033-05-06,金曜日,Friday,Fri,False,False,,仏滅,False,癸丑,癸,丑,水,土,陰,牛,冠帯,False,,,,調査中,恋愛運絶好調,黄金色,ジャスミンティー,27,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,悪魔 - 誘惑,調和は美の根源,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
7,2033-05-07,土曜日,Saturday,Sat,True,False,,大安,True,甲寅,甲,寅,木,木,陽,虎,衰,False,,,,調査中,直感力が冴える,鋼青色,ルイボスティー,28,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,塔 - 変革,希望は明日への光,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
8,2033-05-08,日曜日,Sunday,Sun,True,False,,赤口,False,乙卯,乙,卯,木,木,陰,兎,病,False,,,,調査中,隠れた才能開花,深紅色,ローズヒップティー,29,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,星 - 希望,慈悲は魂の栄養,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
9,2033-05-09,月曜日,Monday,Mon,False,False,,先勝,False,丙辰,丙,辰,火,土,陽,龍,死,True,辰巳,財運・社会,,調査中,人生の転機到来,金色,白茶,30,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,月 - 幻想,一歩一歩が大切な旅路,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
10,2033-05-10,火曜日,Tuesday,Tue,False,False,,友引,False,丁巳,丁,巳,火,火,陰,蛇,墓,True,辰巳,財運・社会,,調査中,幸運の風が吹く,朱色,烏龍茶,31,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,太陽 - 成功,今日という日は二度と来ない,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
11,2033-05-11,水曜日,Wednesday,Wed,False,False,,先負,False,戊午,戊,午,土,火,陽,馬,絶,False,,,,調査中,魂の成長期間,空色,玄米茶,32,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,審判 - 再生,心の平安が真の豊かさ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
12,2033-05-12,木曜日,Thursday,Thu,False,False,,仏滅,False,己未,己,未,土,土,陰,羊,胎,False,,,,調査中,エネルギー充電日,若草色,抹茶,33,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,魚座,世界 - 完成,変化は成長の扉,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
13,2033-05-13,金曜日,Friday,Fri,False,False,,大安,False,庚申,庚,申,金,金,陽,猿,養,False,,,,調査中,新次元への扉,黄金色,柚子茶,34,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,牡羊座,愚者 - 新しい始まり,感謝の心が幸福を呼ぶ,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
14,2033-05-14,土曜日,Saturday,Sat,True,False,,赤口,True,辛酉,辛,酉,金,金,陰,鶏,長生,False,,,,調査中,守護霊のささやき,鋼青色,生姜茶,35,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,牡牛座,魔術師 - 創造力,愛は最も強いエネルギー,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
15,2033-05-15,日曜日,Sunday,Sun,True,False,,先勝,False,壬戌,壬,戌,水,土,陽,犬,沐浴,False,,,,調査中,願いが叶う予感,深紅色,黒豆茶,36,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,双子座,女教皇 - 直感,困難は成長のギフト,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
16,2033-05-16,月曜日,Monday,Mon,False,False,,友引,False,癸亥,癸,亥,水,水,陰,猪,冠帯,False,,,,調査中,心のデトックス,金色,アールグレイ,37,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,蟹座,女帝 - 豊穣,今この瞬間が全て,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
