日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2030-08-01,木曜日,Thursday,Thu,False,False,,友引,True,甲子,甲,子,木,水,陽,鼠,墓,False,,,,調査中,奇跡を呼ぶ波動,若草色,ペパーミントティー,15,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,節制 - 調和,感謝の心が幸福を呼ぶ,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2,,2030-08-02,金曜日,Friday,Fri,False,False,,先負,False,乙丑,乙,丑,木,土,陰,牛,絶,False,,,,調査中,龍神様のご加護,黄金色,緑茶,16,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,悪魔 - 誘惑,愛は最も強いエネルギー,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
3,,2030-08-03,土曜日,Saturday,Sat,True,False,,仏滅,False,丙寅,丙,寅,火,木,陽,虎,胎,True,寅卯,親・目上,,調査中,金運上昇のサイン,鋼青色,ほうじ茶,17,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,塔 - 変革,困難は成長のギフト,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
4,,2030-08-04,日曜日,Sunday,Sun,True,False,,大安,False,丁卯,丁,卯,火,木,陰,兎,養,True,寅卯,親・目上,,調査中,恋愛運絶好調,深紅色,ジャスミンティー,18,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,星 - 希望,今この瞬間が全て,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
5,,2030-08-05,月曜日,Monday,Mon,False,False,,赤口,False,戊辰,戊,辰,土,土,陽,龍,長生,False,,,,調査中,直感力が冴える,金色,ルイボスティー,19,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,月 - 幻想,笑顔は心の太陽,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
6,,2030-08-06,火曜日,Tuesday,Tue,False,False,,先勝,False,己巳,己,巳,土,火,陰,蛇,沐浴,False,,,,調査中,隠れた才能開花,朱色,ローズヒップティー,20,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,太陽 - 成功,優しさは伝染する,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
7,,2030-08-07,水曜日,Wednesday,Wed,False,False,,友引,False,庚午,庚,午,金,火,陽,馬,冠帯,False,,,,調査中,人生の転機到来,空色,白茶,21,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,審判 - 再生,夢は現実の種,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
8,,2030-08-08,木曜日,Thursday,Thu,False,False,,先負,True,辛未,辛,未,金,土,陰,羊,建禄,False,,,,調査中,幸運の風が吹く,若草色,烏龍茶,22,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,世界 - 完成,勇気は恐れを超越する,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
9,,2030-08-09,金曜日,Friday,Fri,False,False,,仏滅,False,壬申,壬,申,水,金,陽,猿,帝旺,False,,,,調査中,魂の成長期間,黄金色,玄米茶,23,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,愚者 - 新しい始まり,知恵は経験から生まれる,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
10,,2030-08-10,土曜日,Saturday,Sat,True,False,,大安,False,癸酉,癸,酉,水,金,陰,鶏,衰,False,,,,調査中,エネルギー充電日,鋼青色,抹茶,24,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,魔術師 - 創造力,調和は美の根源,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
