日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2030-03-01,金曜日,Friday,Fri,False,False,,先負,True,辛卯,辛,卯,金,木,陰,兎,胎,False,,,,調査中,豊かさの波動,黄金色,黒豆茶,60,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,魚座,悪魔 - 誘惑,勇気は恐れを超越する,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
2,2030-03-02,土曜日,Saturday,Sat,True,False,,仏滅,False,壬辰,壬,辰,水,土,陽,龍,養,False,,,,調査中,運命の扉が開く日,鋼青色,アールグレイ,61,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,塔 - 変革,知恵は経験から生まれる,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
3,2030-03-03,日曜日,Sunday,Sun,True,False,,大安,False,癸巳,癸,巳,水,火,陰,蛇,長生,False,,,,調査中,宇宙からのメッセージ,深紅色,カモミールティー,62,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,星 - 希望,調和は美の根源,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
4,2030-03-04,月曜日,Monday,Mon,False,False,,赤口,False,甲午,甲,午,木,火,陽,馬,建禄,True,午未,配偶者・恋愛,,調査中,奇跡を呼ぶ波動,金色,ペパーミントティー,63,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,月 - 幻想,希望は明日への光,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
5,2030-03-05,火曜日,Tuesday,Tue,False,False,,先勝,False,乙未,乙,未,木,土,陰,羊,帝旺,True,午未,配偶者・恋愛,,調査中,龍神様のご加護,朱色,緑茶,64,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,太陽 - 成功,慈悲は魂の栄養,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
6,2030-03-06,水曜日,Wednesday,Wed,False,False,,友引,False,丙申,丙,申,火,金,陽,猿,衰,False,,,,調査中,金運上昇のサイン,空色,ほうじ茶,65,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,審判 - 再生,一歩一歩が大切な旅路,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
7,2030-03-07,木曜日,Thursday,Thu,False,False,,先負,False,丁酉,丁,酉,火,金,陰,鶏,病,False,,,,調査中,恋愛運絶好調,若草色,ジャスミンティー,66,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,世界 - 完成,今日という日は二度と来ない,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
8,2030-03-08,金曜日,Friday,Fri,False,False,,仏滅,True,戊戌,戊,戌,土,土,陽,犬,死,False,,,,調査中,直感力が冴える,黄金色,ルイボスティー,67,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,愚者 - 新しい始まり,心の平安が真の豊かさ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
9,2030-03-09,土曜日,Saturday,Sat,True,False,,大安,False,己亥,己,亥,土,水,陰,猪,墓,False,,,,調査中,隠れた才能開花,鋼青色,ローズヒップティー,68,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,魔術師 - 創造力,変化は成長の扉,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
10,2030-03-10,日曜日,Sunday,Sun,True,False,,赤口,False,庚子,庚,子,金,水,陽,鼠,絶,False,,,,調査中,人生の転機到来,深紅色,白茶,69,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,女教皇 - 直感,感謝の心が幸福を呼ぶ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
