日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2030-10-01,火曜日,Tuesday,Tue,False,False,,仏滅,True,乙丑,乙,丑,木,土,陰,牛,養,False,,,,調査中,龍神様のご加護,朱色,緑茶,76,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,隠者 - 内省,今日という日は二度と来ない,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2,,2030-10-02,水曜日,Wednesday,Wed,False,False,,大安,False,丙寅,丙,寅,火,木,陽,虎,長生,True,寅卯,親・目上,,調査中,金運上昇のサイン,空色,ほうじ茶,77,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,運命の輪 - 転機,心の平安が真の豊かさ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
3,,2030-10-03,木曜日,Thursday,Thu,False,False,,赤口,False,丁卯,丁,卯,火,木,陰,兎,沐浴,True,寅卯,親・目上,,調査中,恋愛運絶好調,若草色,ジャスミンティー,78,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,正義 - バランス,変化は成長の扉,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
4,,2030-10-04,金曜日,Friday,Fri,False,False,,先勝,False,戊辰,戊,辰,土,土,陽,龍,冠帯,False,,,,調査中,直感力が冴える,黄金色,ルイボスティー,79,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,吊られた男 - 犠牲,感謝の心が幸福を呼ぶ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
5,,2030-10-05,土曜日,Saturday,Sat,True,False,,友引,False,己巳,己,巳,土,火,陰,蛇,建禄,False,,,,調査中,隠れた才能開花,鋼青色,ローズヒップティー,80,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,死神 - 変容,愛は最も強いエネルギー,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
6,,2030-10-06,日曜日,Sunday,Sun,True,False,,先負,True,庚午,庚,午,金,火,陽,馬,帝旺,False,,,,調査中,人生の転機到来,深紅色,白茶,81,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,節制 - 調和,困難は成長のギフト,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
7,,2030-10-07,月曜日,Monday,Mon,False,False,,仏滅,False,辛未,辛,未,金,土,陰,羊,衰,False,,,,調査中,幸運の風が吹く,金色,烏龍茶,82,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,悪魔 - 誘惑,今この瞬間が全て,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
8,,2030-10-08,火曜日,Tuesday,Tue,False,False,,大安,False,壬申,壬,申,水,金,陽,猿,病,False,,,,調査中,魂の成長期間,朱色,玄米茶,83,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,塔 - 変革,笑顔は心の太陽,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
9,,2030-10-09,水曜日,Wednesday,Wed,False,False,,赤口,True,癸酉,癸,酉,水,金,陰,鶏,死,False,,,,調査中,エネルギー充電日,空色,抹茶,84,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,星 - 希望,優しさは伝染する,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
10,,2030-10-10,木曜日,Thursday,Thu,False,False,,先勝,False,甲戌,甲,戌,木,土,陽,犬,胎,True,戌亥,家庭・不動産,,調査中,新次元への扉,若草色,柚子茶,85,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,月 - 幻想,夢は現実の種,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
11,,2030-10-11,金曜日,Friday,Fri,False,False,,友引,False,乙亥,乙,亥,木,水,陰,猪,養,True,戌亥,家庭・不動産,,調査中,守護霊のささやき,黄金色,生姜茶,86,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,太陽 - 成功,勇気は恐れを超越する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
12,,2030-10-12,土曜日,Saturday,Sat,True,False,,先負,False,丙子,丙,子,火,水,陽,鼠,長生,False,,,,調査中,願いが叶う予感,鋼青色,黒豆茶,87,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,審判 - 再生,知恵は経験から生まれる,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
