日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2030-07-01,月曜日,Monday,Mon,False,False,,先勝,False,癸巳,癸,巳,水,火,陰,蛇,帝旺,False,,,,調査中,宇宙からのメッセージ,金色,カモミールティー,83,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,教皇 - 叡智,愛は最も強いエネルギー,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2,,2030-07-02,火曜日,Tuesday,Tue,False,False,,友引,False,甲午,甲,午,木,火,陽,馬,死,True,午未,配偶者・恋愛,,調査中,奇跡を呼ぶ波動,朱色,ペパーミントティー,84,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,恋人 - 選択,困難は成長のギフト,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
3,,2030-07-03,水曜日,Wednesday,Wed,False,False,,先負,False,乙未,乙,未,木,土,陰,羊,墓,True,午未,配偶者・恋愛,,調査中,龍神様のご加護,空色,緑茶,85,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,戦車 - 意志力,今この瞬間が全て,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
4,,2030-07-04,木曜日,Thursday,Thu,False,False,,仏滅,False,丙申,丙,申,火,金,陽,猿,絶,False,,,,調査中,金運上昇のサイン,若草色,ほうじ茶,86,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,力 - 内なる強さ,笑顔は心の太陽,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
5,,2030-07-05,金曜日,Friday,Fri,False,False,,大安,True,丁酉,丁,酉,火,金,陰,鶏,胎,False,,,,調査中,恋愛運絶好調,黄金色,ジャスミンティー,87,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,隠者 - 内省,優しさは伝染する,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
6,,2030-07-06,土曜日,Saturday,Sat,True,False,,赤口,False,戊戌,戊,戌,土,土,陽,犬,養,False,,,,調査中,直感力が冴える,鋼青色,ルイボスティー,88,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,運命の輪 - 転機,夢は現実の種,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
7,,2030-07-07,日曜日,Sunday,Sun,True,False,,先勝,True,己亥,己,亥,土,水,陰,猪,長生,False,,,,調査中,隠れた才能開花,深紅色,ローズヒップティー,89,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,正義 - バランス,勇気は恐れを超越する,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
8,,2030-07-08,月曜日,Monday,Mon,False,False,,友引,False,庚子,庚,子,金,水,陽,鼠,沐浴,False,,,,調査中,人生の転機到来,金色,白茶,90,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,吊られた男 - 犠牲,知恵は経験から生まれる,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
9,,2030-07-09,火曜日,Tuesday,Tue,False,False,,先負,False,辛丑,辛,丑,金,土,陰,牛,冠帯,False,,,,調査中,幸運の風が吹く,朱色,烏龍茶,91,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,死神 - 変容,調和は美の根源,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
10,,2030-07-10,水曜日,Wednesday,Wed,False,False,,仏滅,False,壬寅,壬,寅,水,木,陽,虎,建禄,False,,,,調査中,魂の成長期間,空色,玄米茶,92,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,節制 - 調和,希望は明日への光,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
