日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2030-12-01,日曜日,Sunday,Sun,True,False,,赤口,False,丙寅,丙,寅,火,木,陽,虎,冠帯,True,寅卯,親・目上,,調査中,金運上昇のサイン,深紅色,ほうじ茶,38,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,皇帝 - 安定,希望は明日への光,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2,2030-12-02,月曜日,Monday,Mon,False,False,,先勝,True,丁卯,丁,卯,火,木,陰,兎,建禄,True,寅卯,親・目上,,調査中,恋愛運絶好調,金色,ジャスミンティー,39,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,教皇 - 叡智,慈悲は魂の栄養,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
3,2030-12-03,火曜日,Tuesday,Tue,False,False,,友引,False,戊辰,戊,辰,土,土,陽,龍,帝旺,False,,,,調査中,直感力が冴える,朱色,ルイボスティー,40,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,恋人 - 選択,一歩一歩が大切な旅路,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
4,2030-12-04,水曜日,Wednesday,Wed,False,False,,先負,False,己巳,己,巳,土,火,陰,蛇,衰,False,,,,調査中,隠れた才能開花,空色,ローズヒップティー,41,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,戦車 - 意志力,今日という日は二度と来ない,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
5,2030-12-05,木曜日,Thursday,Thu,False,False,,仏滅,False,庚午,庚,午,金,火,陽,馬,病,False,,,,調査中,人生の転機到来,若草色,白茶,42,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,力 - 内なる強さ,心の平安が真の豊かさ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
6,2030-12-06,金曜日,Friday,Fri,False,False,,大安,False,辛未,辛,未,金,土,陰,羊,死,False,,,,調査中,幸運の風が吹く,黄金色,烏龍茶,43,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,隠者 - 内省,変化は成長の扉,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
7,2030-12-07,土曜日,Saturday,Sat,True,False,,赤口,True,壬申,壬,申,水,金,陽,猿,墓,False,,,,調査中,魂の成長期間,鋼青色,玄米茶,44,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,運命の輪 - 転機,感謝の心が幸福を呼ぶ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
8,2030-12-08,日曜日,Sunday,Sun,True,False,,先勝,False,癸酉,癸,酉,水,金,陰,鶏,絶,False,,,,調査中,エネルギー充電日,深紅色,抹茶,45,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,正義 - バランス,愛は最も強いエネルギー,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
9,2030-12-09,月曜日,Monday,Mon,False,False,,友引,False,甲戌,甲,戌,木,土,陽,犬,長生,True,戌亥,家庭・不動産,,調査中,新次元への扉,金色,柚子茶,46,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,吊られた男 - 犠牲,困難は成長のギフト,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
10,2030-12-10,火曜日,Tuesday,Tue,False,False,,先負,False,乙亥,乙,亥,木,水,陰,猪,沐浴,True,戌亥,家庭・不動産,,調査中,守護霊のささやき,朱色,生姜茶,47,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,死神 - 変容,今この瞬間が全て,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
