日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2034-12-01,金曜日,Friday,Fri,False,False,,赤口,False,丁亥,丁,亥,火,水,陰,猪,建禄,False,,,,調査中,金運上昇のサイン,黄金色,ほうじ茶,38,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,皇帝 - 安定,希望は明日への光,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2,,2034-12-02,土曜日,Saturday,Sat,True,False,,先勝,True,戊子,戊,子,土,水,陽,鼠,帝旺,False,,,,調査中,恋愛運絶好調,鋼青色,ジャスミンティー,39,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,教皇 - 叡智,慈悲は魂の栄養,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
3,,2034-12-03,日曜日,Sunday,Sun,True,False,,友引,False,己丑,己,丑,土,土,陰,牛,衰,False,,,,調査中,直感力が冴える,深紅色,ルイボスティー,40,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,恋人 - 選択,一歩一歩が大切な旅路,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
4,,2034-12-04,月曜日,Monday,Mon,False,False,,先負,False,庚寅,庚,寅,金,木,陽,虎,病,False,,,,調査中,隠れた才能開花,金色,ローズヒップティー,41,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,戦車 - 意志力,今日という日は二度と来ない,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
5,,2034-12-05,火曜日,Tuesday,Tue,False,False,,仏滅,False,辛卯,辛,卯,金,木,陰,兎,死,False,,,,調査中,人生の転機到来,朱色,白茶,42,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,力 - 内なる強さ,心の平安が真の豊かさ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
6,,2034-12-06,水曜日,Wednesday,Wed,False,False,,大安,False,壬辰,壬,辰,水,土,陽,龍,墓,False,,,,調査中,幸運の風が吹く,空色,烏龍茶,43,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,隠者 - 内省,変化は成長の扉,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
7,,2034-12-07,木曜日,Thursday,Thu,False,False,,赤口,True,癸巳,癸,巳,水,火,陰,蛇,絶,False,,,,調査中,魂の成長期間,若草色,玄米茶,44,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,運命の輪 - 転機,感謝の心が幸福を呼ぶ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
8,,2034-12-08,金曜日,Friday,Fri,False,False,,先勝,False,甲午,甲,午,木,火,陽,馬,長生,True,午未,配偶者・恋愛,,調査中,エネルギー充電日,黄金色,抹茶,45,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,正義 - バランス,愛は最も強いエネルギー,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
9,,2034-12-09,土曜日,Saturday,Sat,True,False,,友引,False,乙未,乙,未,木,土,陰,羊,沐浴,True,午未,配偶者・恋愛,,調査中,新次元への扉,鋼青色,柚子茶,46,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,吊られた男 - 犠牲,困難は成長のギフト,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
10,,2034-12-10,日曜日,Sunday,Sun,True,False,,先負,False,丙申,丙,申,火,金,陽,猿,冠帯,False,,,,調査中,守護霊のささやき,深紅色,生姜茶,47,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,死神 - 変容,今この瞬間が全て,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
11,,2034-12-11,月曜日,Monday,Mon,False,False,,仏滅,False,丁酉,丁,酉,火,金,陰,鶏,建禄,False,,,,調査中,願いが叶う予感,金色,黒豆茶,48,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,節制 - 調和,笑顔は心の太陽,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
