日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2034-10-01,日曜日,Sunday,Sun,True,False,,仏滅,True,丙戌,丙,戌,火,土,陽,犬,長生,False,,,,調査中,龍神様のご加護,深紅色,緑茶,76,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,隠者 - 内省,今日という日は二度と来ない,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2,,2034-10-02,月曜日,Monday,Mon,False,False,,大安,False,丁亥,丁,亥,火,水,陰,猪,沐浴,False,,,,調査中,金運上昇のサイン,金色,ほうじ茶,77,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,運命の輪 - 転機,心の平安が真の豊かさ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
3,,2034-10-03,火曜日,Tuesday,Tue,False,False,,赤口,False,戊子,戊,子,土,水,陽,鼠,冠帯,False,,,,調査中,恋愛運絶好調,朱色,ジャスミンティー,78,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,正義 - バランス,変化は成長の扉,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
4,,2034-10-04,水曜日,Wednesday,Wed,False,False,,先勝,False,己丑,己,丑,土,土,陰,牛,建禄,False,,,,調査中,直感力が冴える,空色,ルイボスティー,79,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,吊られた男 - 犠牲,感謝の心が幸福を呼ぶ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
5,,2034-10-05,木曜日,Thursday,Thu,False,False,,友引,False,庚寅,庚,寅,金,木,陽,虎,帝旺,False,,,,調査中,隠れた才能開花,若草色,ローズヒップティー,80,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,死神 - 変容,愛は最も強いエネルギー,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
6,,2034-10-06,金曜日,Friday,Fri,False,False,,先負,True,辛卯,辛,卯,金,木,陰,兎,衰,False,,,,調査中,人生の転機到来,黄金色,白茶,81,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,節制 - 調和,困難は成長のギフト,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
7,,2034-10-07,土曜日,Saturday,Sat,True,False,,仏滅,False,壬辰,壬,辰,水,土,陽,龍,病,False,,,,調査中,幸運の風が吹く,鋼青色,烏龍茶,82,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,悪魔 - 誘惑,今この瞬間が全て,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
8,,2034-10-08,日曜日,Sunday,Sun,True,False,,大安,False,癸巳,癸,巳,水,火,陰,蛇,死,False,,,,調査中,魂の成長期間,深紅色,玄米茶,83,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,塔 - 変革,笑顔は心の太陽,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
9,,2034-10-09,月曜日,Monday,Mon,False,True,スポーツの日,赤口,True,甲午,甲,午,木,火,陽,馬,胎,True,午未,配偶者・恋愛,,調査中,エネルギー充電日,金色,抹茶,84,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,星 - 希望,優しさは伝染する,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
10,,2034-10-10,火曜日,Tuesday,Tue,False,False,,先勝,False,乙未,乙,未,木,土,陰,羊,養,True,午未,配偶者・恋愛,,調査中,新次元への扉,朱色,柚子茶,85,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,月 - 幻想,夢は現実の種,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
11,,2034-10-11,水曜日,Wednesday,Wed,False,False,,友引,False,丙申,丙,申,火,金,陽,猿,長生,False,,,,調査中,守護霊のささやき,空色,生姜茶,86,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,太陽 - 成功,勇気は恐れを超越する,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
12,,2034-10-12,木曜日,Thursday,Thu,False,False,,先負,False,丁酉,丁,酉,火,金,陰,鶏,沐浴,False,,,,調査中,願いが叶う予感,若草色,黒豆茶,87,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,審判 - 再生,知恵は経験から生まれる,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
13,,2034-10-13,金曜日,Friday,Fri,False,False,,仏滅,False,戊戌,戊,戌,土,土,陽,犬,冠帯,False,,,,調査中,心のデトックス,黄金色,アールグレイ,88,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,世界 - 完成,調和は美の根源,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
14,,2034-10-14,土曜日,Saturday,Sat,True,False,,大安,True,己亥,己,亥,土,水,陰,猪,建禄,False,,,,調査中,創造力爆発,鋼青色,カモミールティー,89,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,愚者 - 新しい始まり,希望は明日への光,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
15,,2034-10-15,日曜日,Sunday,Sun,True,False,,赤口,False,庚子,庚,子,金,水,陽,鼠,帝旺,False,,,,調査中,人との縁を結ぶ,深紅色,ペパーミントティー,90,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,魔術師 - 創造力,慈悲は魂の栄養,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
16,,2034-10-16,月曜日,Monday,Mon,False,False,,先勝,False,辛丑,辛,丑,金,土,陰,牛,衰,False,,,,調査中,未来への種まき,金色,緑茶,91,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,女教皇 - 直感,一歩一歩が大切な旅路,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
17,,2034-10-17,火曜日,Tuesday,Tue,False,False,,友引,False,壬寅,壬,寅,水,木,陽,虎,病,False,,,,調査中,宝物発見の予感,朱色,ほうじ茶,92,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,女帝 - 豊穣,今日という日は二度と来ない,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
18,,2034-10-18,水曜日,Wednesday,Wed,False,False,,先負,False,癸卯,癸,卯,水,木,陰,兎,死,False,,,,調査中,内なる光が輝く,空色,ジャスミンティー,93,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,皇帝 - 安定,心の平安が真の豊かさ,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
19,,2034-10-19,木曜日,Thursday,Thu,False,False,,仏滅,False,甲辰,甲,辰,木,土,陽,龍,胎,False,,,,調査中,調和のメロディ,若草色,ルイボスティー,94,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,教皇 - 叡智,変化は成長の扉,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
20,,2034-10-20,金曜日,Friday,Fri,False,False,,大安,False,乙巳,乙,巳,木,火,陰,蛇,養,False,,,,調査中,自然の叡智授受,黄金色,ローズヒップティー,95,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,恋人 - 選択,感謝の心が幸福を呼ぶ,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
21,,2034-10-21,土曜日,Saturday,Sat,True,False,,赤口,True,丙午,丙,午,火,火,陽,馬,長生,False,,,,調査中,知恵の泉湧出,鋼青色,白茶,96,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,戦車 - 意志力,愛は最も強いエネルギー,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
