日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2034-02-01,水曜日,Wednesday,Wed,False,False,,友引,False,甲申,甲,申,木,金,陽,猿,冠帯,True,申酉,友人・兄弟,,調査中,宇宙からのメッセージ,空色,カモミールティー,32,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,隠者 - 内省,慈悲は魂の栄養,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2,2034-02-02,木曜日,Thursday,Thu,False,False,,先負,True,乙酉,乙,酉,木,金,陰,鶏,建禄,True,申酉,友人・兄弟,,調査中,奇跡を呼ぶ波動,若草色,ペパーミントティー,33,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,運命の輪 - 転機,一歩一歩が大切な旅路,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
3,2034-02-03,金曜日,Friday,Fri,False,False,,仏滅,False,丙戌,丙,戌,火,土,陽,犬,帝旺,False,,,,調査中,龍神様のご加護,黄金色,緑茶,34,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,正義 - バランス,今日という日は二度と来ない,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
4,2034-02-04,土曜日,Saturday,Sat,True,False,,大安,False,丁亥,丁,亥,火,水,陰,猪,衰,False,,,,調査中,金運上昇のサイン,鋼青色,ほうじ茶,35,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,吊られた男 - 犠牲,心の平安が真の豊かさ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
5,2034-02-05,日曜日,Sunday,Sun,True,False,,赤口,True,戊子,戊,子,土,水,陽,鼠,病,False,,,,調査中,恋愛運絶好調,深紅色,ジャスミンティー,36,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,死神 - 変容,変化は成長の扉,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
6,2034-02-06,月曜日,Monday,Mon,False,False,,先勝,False,己丑,己,丑,土,土,陰,牛,死,False,,,,調査中,直感力が冴える,金色,ルイボスティー,37,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,節制 - 調和,感謝の心が幸福を呼ぶ,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
7,2034-02-07,火曜日,Tuesday,Tue,False,False,,友引,False,庚寅,庚,寅,金,木,陽,虎,墓,False,,,,調査中,隠れた才能開花,朱色,ローズヒップティー,38,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,悪魔 - 誘惑,愛は最も強いエネルギー,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
8,2034-02-08,水曜日,Wednesday,Wed,False,False,,先負,False,辛卯,辛,卯,金,木,陰,兎,絶,False,,,,調査中,人生の転機到来,空色,白茶,39,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,塔 - 変革,困難は成長のギフト,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
9,2034-02-09,木曜日,Thursday,Thu,False,False,,仏滅,False,壬辰,壬,辰,水,土,陽,龍,胎,False,,,,調査中,幸運の風が吹く,若草色,烏龍茶,40,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,星 - 希望,今この瞬間が全て,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
10,2034-02-10,金曜日,Friday,Fri,False,False,,大安,False,癸巳,癸,巳,水,火,陰,蛇,養,False,,,,調査中,魂の成長期間,黄金色,玄米茶,41,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,月 - 幻想,笑顔は心の太陽,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
