date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-05-01,木曜日,Thursday,False,False,,大安,運命の扉が開く日,若草色,アールグレイ
2025-05-02,金曜日,Friday,False,False,,赤口,宇宙からのメッセージ,黄金色,カモミールティー
2025-05-03,土曜日,Saturday,True,True,憲法記念日,先勝,奇跡を呼ぶ波動,鋼青色,ペパーミントティー
2025-05-04,日曜日,Sunday,True,True,みどりの日,友引,龍神様のご加護,深紅色,緑茶
2025-05-05,月曜日,Monday,False,True,こどもの日,先負,金運上昇のサイン,金色,ほうじ茶
2025-05-06,火曜日,Tuesday,False,False,,仏滅,恋愛運絶好調,朱色,ジャスミンティー
2025-05-07,水曜日,Wednesday,False,False,,大安,直感力が冴える,空色,ルイボスティー
2025-05-08,木曜日,Thursday,False,False,,赤口,隠れた才能開花,若草色,ローズヒップティー
2025-05-09,金曜日,Friday,False,False,,先勝,人生の転機到来,黄金色,白茶
2025-05-10,土曜日,Saturday,True,False,,友引,幸運の風が吹く,鋼青色,烏龍茶
2025-05-11,日曜日,Sunday,True,False,,先負,魂の成長期間,深紅色,玄米茶
2025-05-12,月曜日,Monday,False,False,,仏滅,エネルギー充電日,金色,抹茶
2025-05-13,火曜日,Tuesday,False,False,,大安,新次元への扉,朱色,柚子茶
2025-05-14,水曜日,Wednesday,False,False,,赤口,守護霊のささやき,空色,生姜茶
2025-05-15,木曜日,Thursday,False,False,,先勝,願いが叶う予感,若草色,黒豆茶
2025-05-16,金曜日,Friday,False,False,,友引,心のデトックス,黄金色,アールグレイ
2025-05-17,土曜日,Saturday,True,False,,先負,創造力爆発,鋼青色,カモミールティー
2025-05-18,日曜日,Sunday,True,False,,仏滅,人との縁を結ぶ,深紅色,ペパーミントティー
2025-05-19,月曜日,Monday,False,False,,大安,未来への種まき,金色,緑茶
2025-05-20,火曜日,Tuesday,False,False,,赤口,宝物発見の予感,朱色,ほうじ茶
2025-05-21,水曜日,Wednesday,False,False,,先勝,内なる光が輝く,空色,ジャスミンティー
2025-05-22,木曜日,Thursday,False,False,,友引,調和のメロディ,若草色,ルイボスティー
2025-05-23,金曜日,Friday,False,False,,先負,自然の叡智授受,黄金色,ローズヒップティー
2025-05-24,土曜日,Saturday,True,False,,仏滅,知恵の泉湧出,鋼青色,白茶
2025-05-25,日曜日,Sunday,True,False,,大安,至福の時間軸,深紅色,烏龍茶
2025-05-26,月曜日,Monday,False,False,,赤口,運気上昇の兆し,金色,玄米茶
2025-05-27,火曜日,Tuesday,False,False,,先勝,心の扉が開放,朱色,抹茶
2025-05-28,水曜日,Wednesday,False,False,,友引,宇宙との同調,空色,柚子茶
2025-05-29,木曜日,Thursday,False,False,,先負,愛のバイブレーション,若草色,生姜茶
2025-05-30,金曜日,Friday,False,False,,仏滅,豊かさの波動,黄金色,黒豆茶
2025-05-31,土曜日,Saturday,True,False,,大安,運命の扉が開く日,鋼青色,アールグレイ
