date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-02-01,土曜日,Saturday,True,False,,友引,宇宙からのメッセージ,鋼青色,カモミールティー
2025-02-02,日曜日,Sunday,True,False,,先負,奇跡を呼ぶ波動,深紅色,ペパーミントティー
2025-02-03,月曜日,Monday,False,False,,仏滅,龍神様のご加護,金色,緑茶
2025-02-04,火曜日,Tuesday,False,False,,大安,金運上昇のサイン,朱色,ほうじ茶
2025-02-05,水曜日,Wednesday,False,False,,赤口,恋愛運絶好調,空色,ジャスミンティー
2025-02-06,木曜日,Thursday,False,False,,先勝,直感力が冴える,若草色,ルイボスティー
2025-02-07,金曜日,Friday,False,False,,友引,隠れた才能開花,黄金色,ローズヒップティー
2025-02-08,土曜日,Saturday,True,False,,先負,人生の転機到来,鋼青色,白茶
2025-02-09,日曜日,Sunday,True,False,,仏滅,幸運の風が吹く,深紅色,烏龍茶
2025-02-10,月曜日,Monday,False,False,,大安,魂の成長期間,金色,玄米茶
2025-02-11,火曜日,Tuesday,False,True,建国記念の日,赤口,エネルギー充電日,朱色,抹茶
2025-02-12,水曜日,Wednesday,False,False,,先勝,新次元への扉,空色,柚子茶
2025-02-13,木曜日,Thursday,False,False,,友引,守護霊のささやき,若草色,生姜茶
2025-02-14,金曜日,Friday,False,False,,先負,願いが叶う予感,黄金色,黒豆茶
2025-02-15,土曜日,Saturday,True,False,,仏滅,心のデトックス,鋼青色,アールグレイ
2025-02-16,日曜日,Sunday,True,False,,大安,創造力爆発,深紅色,カモミールティー
2025-02-17,月曜日,Monday,False,False,,赤口,人との縁を結ぶ,金色,ペパーミントティー
2025-02-18,火曜日,Tuesday,False,False,,先勝,未来への種まき,朱色,緑茶
2025-02-19,水曜日,Wednesday,False,False,,友引,宝物発見の予感,空色,ほうじ茶
2025-02-20,木曜日,Thursday,False,False,,先負,内なる光が輝く,若草色,ジャスミンティー
2025-02-21,金曜日,Friday,False,False,,仏滅,調和のメロディ,黄金色,ルイボスティー
2025-02-22,土曜日,Saturday,True,False,,大安,自然の叡智授受,鋼青色,ローズヒップティー
2025-02-23,日曜日,Sunday,True,True,天皇誕生日,赤口,知恵の泉湧出,深紅色,白茶
2025-02-24,月曜日,Monday,False,False,,先勝,至福の時間軸,金色,烏龍茶
2025-02-25,火曜日,Tuesday,False,False,,友引,運気上昇の兆し,朱色,玄米茶
2025-02-26,水曜日,Wednesday,False,False,,先負,心の扉が開放,空色,抹茶
2025-02-27,木曜日,Thursday,False,False,,仏滅,宇宙との同調,若草色,柚子茶
2025-02-28,金曜日,Friday,False,False,,大安,愛のバイブレーション,黄金色,生姜茶
