date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-04-01,火曜日,Tuesday,False,False,,仏滅,運命の扉が開く日,朱色,アールグレイ
2025-04-02,水曜日,Wednesday,False,False,,大安,宇宙からのメッセージ,空色,カモミールティー
2025-04-03,木曜日,Thursday,False,False,,赤口,奇跡を呼ぶ波動,若草色,ペパーミントティー
2025-04-04,金曜日,Friday,False,False,,先勝,龍神様のご加護,黄金色,緑茶
2025-04-05,土曜日,Saturday,True,False,,友引,金運上昇のサイン,鋼青色,ほうじ茶
2025-04-06,日曜日,Sunday,True,False,,先負,恋愛運絶好調,深紅色,ジャスミンティー
2025-04-07,月曜日,Monday,False,False,,仏滅,直感力が冴える,金色,ルイボスティー
2025-04-08,火曜日,Tuesday,False,False,,大安,隠れた才能開花,朱色,ローズヒップティー
2025-04-09,水曜日,Wednesday,False,False,,赤口,人生の転機到来,空色,白茶
2025-04-10,木曜日,Thursday,False,False,,先勝,幸運の風が吹く,若草色,烏龍茶
2025-04-11,金曜日,Friday,False,False,,友引,魂の成長期間,黄金色,玄米茶
2025-04-12,土曜日,Saturday,True,False,,先負,エネルギー充電日,鋼青色,抹茶
2025-04-13,日曜日,Sunday,True,False,,仏滅,新次元への扉,深紅色,柚子茶
2025-04-14,月曜日,Monday,False,False,,大安,守護霊のささやき,金色,生姜茶
2025-04-15,火曜日,Tuesday,False,False,,赤口,願いが叶う予感,朱色,黒豆茶
2025-04-16,水曜日,Wednesday,False,False,,先勝,心のデトックス,空色,アールグレイ
2025-04-17,木曜日,Thursday,False,False,,友引,創造力爆発,若草色,カモミールティー
2025-04-18,金曜日,Friday,False,False,,先負,人との縁を結ぶ,黄金色,ペパーミントティー
2025-04-19,土曜日,Saturday,True,False,,仏滅,未来への種まき,鋼青色,緑茶
2025-04-20,日曜日,Sunday,True,False,,大安,宝物発見の予感,深紅色,ほうじ茶
2025-04-21,月曜日,Monday,False,False,,赤口,内なる光が輝く,金色,ジャスミンティー
2025-04-22,火曜日,Tuesday,False,False,,先勝,調和のメロディ,朱色,ルイボスティー
2025-04-23,水曜日,Wednesday,False,False,,友引,自然の叡智授受,空色,ローズヒップティー
2025-04-24,木曜日,Thursday,False,False,,先負,知恵の泉湧出,若草色,白茶
2025-04-25,金曜日,Friday,False,False,,仏滅,至福の時間軸,黄金色,烏龍茶
2025-04-26,土曜日,Saturday,True,False,,大安,運気上昇の兆し,鋼青色,玄米茶
2025-04-27,日曜日,Sunday,True,False,,赤口,心の扉が開放,深紅色,抹茶
2025-04-28,月曜日,Monday,False,False,,先勝,宇宙との同調,金色,柚子茶
2025-04-29,火曜日,Tuesday,False,True,昭和の日,友引,愛のバイブレーション,朱色,生姜茶
2025-04-30,水曜日,Wednesday,False,False,,先負,豊かさの波動,空色,黒豆茶
