date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-06-01,日曜日,Sunday,True,False,,赤口,宇宙からのメッセージ,深紅色,カモミールティー
2025-06-02,月曜日,Monday,False,False,,先勝,奇跡を呼ぶ波動,金色,ペパーミントティー
2025-06-03,火曜日,Tuesday,False,False,,友引,龍神様のご加護,朱色,緑茶
2025-06-04,水曜日,Wednesday,False,False,,先負,金運上昇のサイン,空色,ほうじ茶
2025-06-05,木曜日,Thursday,False,False,,仏滅,恋愛運絶好調,若草色,ジャスミンティー
2025-06-06,金曜日,Friday,False,False,,大安,直感力が冴える,黄金色,ルイボスティー
2025-06-07,土曜日,Saturday,True,False,,赤口,隠れた才能開花,鋼青色,ローズヒップティー
2025-06-08,日曜日,Sunday,True,False,,先勝,人生の転機到来,深紅色,白茶
2025-06-09,月曜日,Monday,False,False,,友引,幸運の風が吹く,金色,烏龍茶
2025-06-10,火曜日,Tuesday,False,False,,先負,魂の成長期間,朱色,玄米茶
2025-06-11,水曜日,Wednesday,False,False,,仏滅,エネルギー充電日,空色,抹茶
2025-06-12,木曜日,Thursday,False,False,,大安,新次元への扉,若草色,柚子茶
2025-06-13,金曜日,Friday,False,False,,赤口,守護霊のささやき,黄金色,生姜茶
2025-06-14,土曜日,Saturday,True,False,,先勝,願いが叶う予感,鋼青色,黒豆茶
2025-06-15,日曜日,Sunday,True,False,,友引,心のデトックス,深紅色,アールグレイ
2025-06-16,月曜日,Monday,False,False,,先負,創造力爆発,金色,カモミールティー
2025-06-17,火曜日,Tuesday,False,False,,仏滅,人との縁を結ぶ,朱色,ペパーミントティー
2025-06-18,水曜日,Wednesday,False,False,,大安,未来への種まき,空色,緑茶
2025-06-19,木曜日,Thursday,False,False,,赤口,宝物発見の予感,若草色,ほうじ茶
2025-06-20,金曜日,Friday,False,False,,先勝,内なる光が輝く,黄金色,ジャスミンティー
2025-06-21,土曜日,Saturday,True,False,,友引,調和のメロディ,鋼青色,ルイボスティー
2025-06-22,日曜日,Sunday,True,False,,先負,自然の叡智授受,深紅色,ローズヒップティー
2025-06-23,月曜日,Monday,False,False,,仏滅,知恵の泉湧出,金色,白茶
2025-06-24,火曜日,Tuesday,False,False,,大安,至福の時間軸,朱色,烏龍茶
2025-06-25,水曜日,Wednesday,False,False,,赤口,運気上昇の兆し,空色,玄米茶
2025-06-26,木曜日,Thursday,False,False,,先勝,心の扉が開放,若草色,抹茶
2025-06-27,金曜日,Friday,False,False,,友引,宇宙との同調,黄金色,柚子茶
2025-06-28,土曜日,Saturday,True,False,,先負,愛のバイブレーション,鋼青色,生姜茶
2025-06-29,日曜日,Sunday,True,False,,仏滅,豊かさの波動,深紅色,黒豆茶
2025-06-30,月曜日,Monday,False,False,,大安,運命の扉が開く日,金色,アールグレイ
