date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-03-01,土曜日,Saturday,True,False,,先負,豊かさの波動,鋼青色,黒豆茶
2025-03-02,日曜日,Sunday,True,False,,仏滅,運命の扉が開く日,深紅色,アールグレイ
2025-03-03,月曜日,Monday,False,False,,大安,宇宙からのメッセージ,金色,カモミールティー
2025-03-04,火曜日,Tuesday,False,False,,赤口,奇跡を呼ぶ波動,朱色,ペパーミントティー
2025-03-05,水曜日,Wednesday,False,False,,先勝,龍神様のご加護,空色,緑茶
2025-03-06,木曜日,Thursday,False,False,,友引,金運上昇のサイン,若草色,ほうじ茶
2025-03-07,金曜日,Friday,False,False,,先負,恋愛運絶好調,黄金色,ジャスミンティー
2025-03-08,土曜日,Saturday,True,False,,仏滅,直感力が冴える,鋼青色,ルイボスティー
2025-03-09,日曜日,Sunday,True,False,,大安,隠れた才能開花,深紅色,ローズヒップティー
2025-03-10,月曜日,Monday,False,False,,赤口,人生の転機到来,金色,白茶
2025-03-11,火曜日,Tuesday,False,False,,先勝,幸運の風が吹く,朱色,烏龍茶
2025-03-12,水曜日,Wednesday,False,False,,友引,魂の成長期間,空色,玄米茶
2025-03-13,木曜日,Thursday,False,False,,先負,エネルギー充電日,若草色,抹茶
2025-03-14,金曜日,Friday,False,False,,仏滅,新次元への扉,黄金色,柚子茶
2025-03-15,土曜日,Saturday,True,False,,大安,守護霊のささやき,鋼青色,生姜茶
2025-03-16,日曜日,Sunday,True,False,,赤口,願いが叶う予感,深紅色,黒豆茶
2025-03-17,月曜日,Monday,False,False,,先勝,心のデトックス,金色,アールグレイ
2025-03-18,火曜日,Tuesday,False,False,,友引,創造力爆発,朱色,カモミールティー
2025-03-19,水曜日,Wednesday,False,False,,先負,人との縁を結ぶ,空色,ペパーミントティー
2025-03-20,木曜日,Thursday,False,True,春分の日,仏滅,未来への種まき,若草色,緑茶
2025-03-21,金曜日,Friday,False,False,,大安,宝物発見の予感,黄金色,ほうじ茶
2025-03-22,土曜日,Saturday,True,False,,赤口,内なる光が輝く,鋼青色,ジャスミンティー
2025-03-23,日曜日,Sunday,True,False,,先勝,調和のメロディ,深紅色,ルイボスティー
2025-03-24,月曜日,Monday,False,False,,友引,自然の叡智授受,金色,ローズヒップティー
2025-03-25,火曜日,Tuesday,False,False,,先負,知恵の泉湧出,朱色,白茶
2025-03-26,水曜日,Wednesday,False,False,,仏滅,至福の時間軸,空色,烏龍茶
2025-03-27,木曜日,Thursday,False,False,,大安,運気上昇の兆し,若草色,玄米茶
2025-03-28,金曜日,Friday,False,False,,赤口,心の扉が開放,黄金色,抹茶
2025-03-29,土曜日,Saturday,True,False,,先勝,宇宙との同調,鋼青色,柚子茶
2025-03-30,日曜日,Sunday,True,False,,友引,愛のバイブレーション,深紅色,生姜茶
2025-03-31,月曜日,Monday,False,False,,先負,豊かさの波動,金色,黒豆茶
