date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-10-01,水曜日,Wednesday,False,False,,仏滅,龍神様のご加護,空色,緑茶
2025-10-02,木曜日,Thursday,False,False,,大安,金運上昇のサイン,若草色,ほうじ茶
2025-10-03,金曜日,Friday,False,False,,赤口,恋愛運絶好調,黄金色,ジャスミンティー
2025-10-04,土曜日,Saturday,True,False,,先勝,直感力が冴える,鋼青色,ルイボスティー
2025-10-05,日曜日,Sunday,True,False,,友引,隠れた才能開花,深紅色,ローズヒップティー
2025-10-06,月曜日,Monday,False,False,,先負,人生の転機到来,金色,白茶
2025-10-07,火曜日,Tuesday,False,False,,仏滅,幸運の風が吹く,朱色,烏龍茶
2025-10-08,水曜日,Wednesday,False,False,,大安,魂の成長期間,空色,玄米茶
2025-10-09,木曜日,Thursday,False,False,,赤口,エネルギー充電日,若草色,抹茶
2025-10-10,金曜日,Friday,False,False,,先勝,新次元への扉,黄金色,柚子茶
2025-10-11,土曜日,Saturday,True,False,,友引,守護霊のささやき,鋼青色,生姜茶
2025-10-12,日曜日,Sunday,True,False,,先負,願いが叶う予感,深紅色,黒豆茶
2025-10-13,月曜日,Monday,False,True,スポーツの日,仏滅,心のデトックス,金色,アールグレイ
2025-10-14,火曜日,Tuesday,False,False,,大安,創造力爆発,朱色,カモミールティー
2025-10-15,水曜日,Wednesday,False,False,,赤口,人との縁を結ぶ,空色,ペパーミントティー
2025-10-16,木曜日,Thursday,False,False,,先勝,未来への種まき,若草色,緑茶
2025-10-17,金曜日,Friday,False,False,,友引,宝物発見の予感,黄金色,ほうじ茶
2025-10-18,土曜日,Saturday,True,False,,先負,内なる光が輝く,鋼青色,ジャスミンティー
2025-10-19,日曜日,Sunday,True,False,,仏滅,調和のメロディ,深紅色,ルイボスティー
2025-10-20,月曜日,Monday,False,False,,大安,自然の叡智授受,金色,ローズヒップティー
2025-10-21,火曜日,Tuesday,False,False,,赤口,知恵の泉湧出,朱色,白茶
2025-10-22,水曜日,Wednesday,False,False,,先勝,至福の時間軸,空色,烏龍茶
2025-10-23,木曜日,Thursday,False,False,,友引,運気上昇の兆し,若草色,玄米茶
2025-10-24,金曜日,Friday,False,False,,先負,心の扉が開放,黄金色,抹茶
2025-10-25,土曜日,Saturday,True,False,,仏滅,宇宙との同調,鋼青色,柚子茶
2025-10-26,日曜日,Sunday,True,False,,大安,愛のバイブレーション,深紅色,生姜茶
2025-10-27,月曜日,Monday,False,False,,赤口,豊かさの波動,金色,黒豆茶
2025-10-28,火曜日,Tuesday,False,False,,先勝,運命の扉が開く日,朱色,アールグレイ
2025-10-29,水曜日,Wednesday,False,False,,友引,宇宙からのメッセージ,空色,カモミールティー
2025-10-30,木曜日,Thursday,False,False,,先負,奇跡を呼ぶ波動,若草色,ペパーミントティー
2025-10-31,金曜日,Friday,False,False,,仏滅,龍神様のご加護,黄金色,緑茶
