date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-09-01,月曜日,Monday,False,False,,先負,龍神様のご加護,金色,緑茶
2025-09-02,火曜日,Tuesday,False,False,,仏滅,金運上昇のサイン,朱色,ほうじ茶
2025-09-03,水曜日,Wednesday,False,False,,大安,恋愛運絶好調,空色,ジャスミンティー
2025-09-04,木曜日,Thursday,False,False,,赤口,直感力が冴える,若草色,ルイボスティー
2025-09-05,金曜日,Friday,False,False,,先勝,隠れた才能開花,黄金色,ローズヒップティー
2025-09-06,土曜日,Saturday,True,False,,友引,人生の転機到来,鋼青色,白茶
2025-09-07,日曜日,Sunday,True,False,,先負,幸運の風が吹く,深紅色,烏龍茶
2025-09-08,月曜日,Monday,False,False,,仏滅,魂の成長期間,金色,玄米茶
2025-09-09,火曜日,Tuesday,False,False,,大安,エネルギー充電日,朱色,抹茶
2025-09-10,水曜日,Wednesday,False,False,,赤口,新次元への扉,空色,柚子茶
2025-09-11,木曜日,Thursday,False,False,,先勝,守護霊のささやき,若草色,生姜茶
2025-09-12,金曜日,Friday,False,False,,友引,願いが叶う予感,黄金色,黒豆茶
2025-09-13,土曜日,Saturday,True,False,,先負,心のデトックス,鋼青色,アールグレイ
2025-09-14,日曜日,Sunday,True,False,,仏滅,創造力爆発,深紅色,カモミールティー
2025-09-15,月曜日,Monday,False,True,敬老の日,大安,人との縁を結ぶ,金色,ペパーミントティー
2025-09-16,火曜日,Tuesday,False,False,,赤口,未来への種まき,朱色,緑茶
2025-09-17,水曜日,Wednesday,False,False,,先勝,宝物発見の予感,空色,ほうじ茶
2025-09-18,木曜日,Thursday,False,False,,友引,内なる光が輝く,若草色,ジャスミンティー
2025-09-19,金曜日,Friday,False,False,,先負,調和のメロディ,黄金色,ルイボスティー
2025-09-20,土曜日,Saturday,True,False,,仏滅,自然の叡智授受,鋼青色,ローズヒップティー
2025-09-21,日曜日,Sunday,True,False,,大安,知恵の泉湧出,深紅色,白茶
2025-09-22,月曜日,Monday,False,False,,赤口,至福の時間軸,金色,烏龍茶
2025-09-23,火曜日,Tuesday,False,True,秋分の日,先勝,運気上昇の兆し,朱色,玄米茶
2025-09-24,水曜日,Wednesday,False,False,,友引,心の扉が開放,空色,抹茶
2025-09-25,木曜日,Thursday,False,False,,先負,宇宙との同調,若草色,柚子茶
2025-09-26,金曜日,Friday,False,False,,仏滅,愛のバイブレーション,黄金色,生姜茶
2025-09-27,土曜日,Saturday,True,False,,大安,豊かさの波動,鋼青色,黒豆茶
2025-09-28,日曜日,Sunday,True,False,,赤口,運命の扉が開く日,深紅色,アールグレイ
2025-09-29,月曜日,Monday,False,False,,先勝,宇宙からのメッセージ,金色,カモミールティー
2025-09-30,火曜日,Tuesday,False,False,,友引,奇跡を呼ぶ波動,朱色,ペパーミントティー
