日,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,,2035-07-01,日曜日,Sunday,Sun,True,False,,先勝,False,己未,己,未,土,土,陰,羊,長生,False,,,,調査中,宇宙からのメッセージ,深紅色,カモミールティー,83,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,教皇 - 叡智,愛は最も強いエネルギー,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2,,2035-07-02,月曜日,Monday,Mon,False,False,,友引,False,庚申,庚,申,金,金,陽,猿,沐浴,False,,,,調査中,奇跡を呼ぶ波動,金色,ペパーミントティー,84,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,恋人 - 選択,困難は成長のギフト,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
3,,2035-07-03,火曜日,Tuesday,Tue,False,False,,先負,False,辛酉,辛,酉,金,金,陰,鶏,冠帯,False,,,,調査中,龍神様のご加護,朱色,緑茶,85,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,戦車 - 意志力,今この瞬間が全て,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
4,,2035-07-04,水曜日,Wednesday,Wed,False,False,,仏滅,False,壬戌,壬,戌,水,土,陽,犬,建禄,False,,,,調査中,金運上昇のサイン,空色,ほうじ茶,86,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,力 - 内なる強さ,笑顔は心の太陽,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
5,,2035-07-05,木曜日,Thursday,Thu,False,False,,大安,True,癸亥,癸,亥,水,水,陰,猪,帝旺,False,,,,調査中,恋愛運絶好調,若草色,ジャスミンティー,87,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,隠者 - 内省,優しさは伝染する,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
6,,2035-07-06,金曜日,Friday,Fri,False,False,,赤口,False,甲子,甲,子,木,水,陽,鼠,死,False,,,,調査中,直感力が冴える,黄金色,ルイボスティー,88,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,運命の輪 - 転機,夢は現実の種,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
7,,2035-07-07,土曜日,Saturday,Sat,True,False,,先勝,True,乙丑,乙,丑,木,土,陰,牛,墓,False,,,,調査中,隠れた才能開花,鋼青色,ローズヒップティー,89,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,正義 - バランス,勇気は恐れを超越する,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
8,,2035-07-08,日曜日,Sunday,Sun,True,False,,友引,False,丙寅,丙,寅,火,木,陽,虎,絶,True,寅卯,親・目上,,調査中,人生の転機到来,深紅色,白茶,90,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,吊られた男 - 犠牲,知恵は経験から生まれる,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
9,,2035-07-09,月曜日,Monday,Mon,False,False,,先負,False,丁卯,丁,卯,火,木,陰,兎,胎,True,寅卯,親・目上,,調査中,幸運の風が吹く,金色,烏龍茶,91,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,死神 - 変容,調和は美の根源,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
10,,2035-07-10,火曜日,Tuesday,Tue,False,False,,仏滅,False,戊辰,戊,辰,土,土,陽,龍,養,False,,,,調査中,魂の成長期間,朱色,玄米茶,92,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,水瓶座,節制 - 調和,希望は明日への光,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
